date;temperature_F;total_sales_RS;temperature_C
Wednesday/September 15/2004;66;37.342;25
Thursday/September 16/2004;64;36.732;24
Friday/September 17/2004;62;35.511;22
Saturday/September 18/2004;66;37.336;25
Sunday/September 19/2004;68;37.336;25
Monday/September 20/2004;61;35.507;22
Tuesday/September 21/2004;68;37.334;25
Wednesday/September 22/2004;63;36.112;23
Thursday/September 23/2004;64;36.112;23
Friday/September 24/2004;65;36.720;24
Saturday/September 25/2004;60;34.893;21
Sunday/September 26/2004;61;35.501;22
Monday/September 27/2004;65;36.718;24
Tuesday/September 28/2004;65;36.718;24
Wednesday/September 29/2004;62;35.499;22
Thursday/September 30/2004;62;35.498;22
Friday/October 1/2004;62;35.497;22
Saturday/October 2/2004;65;36.713;24
Sunday/October 3/2004;64;36.104;23
Monday/October 4/2004;60;34.886;21
Tuesday/October 5/2004;64;36.103;23
Wednesday/October 6/2004;64;36.712;24
Thursday/October 7/2004;61;34.881;21
Friday/October 8/2004;64;36.097;23
Saturday/October 9/2004;62;35.487;22
Sunday/October 10/2004;64;36.095;23
Monday/October 11/2004;67;37.312;25
Tuesday/October 12/2004;67;37.309;25
Wednesday/October 13/2004;63;36.090;23
Thursday/October 14/2004;66;36.697;24
Friday/October 15/2004;62;35.478;22
Saturday/October 16/2004;66;37.303;25
Sunday/October 17/2004;62;35.473;22
Monday/October 18/2004;67;37.298;25
Tuesday/October 19/2004;60;34.861;21
Wednesday/October 20/2004;66;37.296;25
Thursday/October 21/2004;66;36.686;24
Friday/October 22/2004;63;36.075;23
Saturday/October 23/2004;66;36.683;24
Sunday/October 24/2004;63;36.074;23
Monday/October 25/2004;61;34.855;21
Tuesday/October 26/2004;61;35.464;22
Wednesday/October 27/2004;63;36.072;23
Thursday/October 28/2004;62;35.463;22
Friday/October 29/2004;64;36.071;23
Saturday/October 30/2004;65;36.679;24
Sunday/October 31/2004;66;37.288;25
Monday/November 1/2004;66;36.678;24
Tuesday/November 2/2004;64;36.068;23
Wednesday/November 3/2004;63;36.068;23
Thursday/November 4/2004;65;36.676;24
Friday/November 5/2004;64;36.065;23
Saturday/November 6/2004;62;35.451;22
Sunday/November 7/2004;66;37.277;25
Monday/November 8/2004;65;36.666;24
Tuesday/November 9/2004;65;36.664;24
Wednesday/November 10/2004;67;37.272;25
Thursday/November 11/2004;65;36.661;24
Friday/November 12/2004;62;35.442;22
Saturday/November 13/2004;62;35.441;22
Sunday/November 14/2004;66;36.657;24
Monday/November 15/2004;67;37.263;25
Tuesday/November 16/2004;62;35.436;22
Wednesday/November 17/2004;64;36.043;23
Thursday/November 18/2004;64;36.042;23
Friday/November 19/2004;63;36.042;23
Saturday/November 20/2004;66;36.651;24
Sunday/November 21/2004;69;37.868;26
Monday/November 22/2004;65;36.650;24
Tuesday/November 23/2004;62;35.432;22
Wednesday/November 24/2004;62;35.431;22
Thursday/November 25/2004;66;36.649;24
Friday/November 26/2004;64;36.037;23
Saturday/November 27/2004;67;37.255;25
Sunday/November 28/2004;65;36.645;24
Monday/November 29/2004;66;36.644;24
Tuesday/November 30/2004;63;36.033;23
Wednesday/December 1/2004;65;36.637;24
Thursday/December 2/2004;66;36.634;24
Friday/December 3/2004;64;36.025;23
Saturday/December 4/2004;66;36.634;24
Sunday/December 5/2004;64;36.023;23
Monday/December 6/2004;67;37.238;25
Tuesday/December 7/2004;68;37.237;25
Wednesday/December 8/2004;63;36.019;23
Thursday/December 9/2004;63;36.019;23
Friday/December 10/2004;67;37.235;25
Saturday/December 11/2004;65;36.622;24
Sunday/December 12/2004;65;36.620;24
Monday/December 13/2004;62;35.401;22
Tuesday/December 14/2004;66;36.618;24
Wednesday/December 15/2004;67;37.226;25
Thursday/December 16/2004;63;36.003;23
Friday/December 17/2004;62;35.394;22
Saturday/December 18/2004;60;34.783;21
Sunday/December 19/2004;64;36.000;23
Monday/December 20/2004;63;35.999;23
Tuesday/December 21/2004;67;37.210;25
Wednesday/December 22/2004;66;37.210;25
Thursday/December 23/2004;63;35.991;23
Friday/December 24/2004;66;37.209;25
Saturday/December 25/2004;65;36.600;24
Sunday/December 26/2004;67;37.206;25
Monday/December 27/2004;68;37.205;25
Tuesday/December 28/2004;63;35.985;23
Wednesday/December 29/2004;64;35.983;23
Thursday/December 30/2004;61;35.372;22
Friday/December 31/2004;66;36.587;24
Saturday/January 1/2005;66;37.194;25
Sunday/January 2/2005;61;35.366;22
Monday/January 3/2005;63;35.973;23
Tuesday/January 4/2005;62;35.361;22
Wednesday/January 5/2005;63;35.967;23
Thursday/January 6/2005;66;37.185;25
Friday/January 7/2005;64;35.966;23
Saturday/January 8/2005;67;37.179;25
Sunday/January 9/2005;67;37.175;25
Monday/January 10/2005;68;37.164;25
Tuesday/January 11/2005;63;35.945;23
Wednesday/January 12/2005;67;37.160;25
Thursday/January 13/2005;65;36.551;24
Friday/January 14/2005;62;35.332;22
Saturday/January 15/2005;62;35.324;22
Sunday/January 16/2005;69;37.758;26
Monday/January 17/2005;64;35.930;23
Tuesday/January 18/2005;66;37.138;25
Wednesday/January 19/2005;66;36.517;24
Thursday/January 20/2005;50;31.005;15
Friday/January 21/2005;50;30.996;15
Saturday/January 22/2005;45;29.773;13
Sunday/January 23/2005;48;30.989;15
Monday/January 24/2005;50;30.975;15
Tuesday/January 25/2005;49;30.948;15
Wednesday/January 26/2005;50;31.554;16
Thursday/January 27/2005;49;30.944;15
Friday/January 28/2005;49;30.939;15
Saturday/January 29/2005;49;30.937;15
Sunday/January 30/2005;48;30.319;14
Monday/January 31/2005;48;30.315;14
Tuesday/February 1/2005;47;30.313;14
Wednesday/February 2/2005;45;29.699;13
Thursday/February 3/2005;48;30.308;14
Friday/February 4/2005;47;30.298;14
Saturday/February 5/2005;47;30.296;14
Sunday/February 6/2005;48;30.294;14
Monday/February 7/2005;46;29.680;13
Tuesday/February 8/2005;48;30.898;15
Wednesday/February 9/2005;46;30.286;14
Thursday/February 10/2005;48;30.894;15
Friday/February 11/2005;46;29.675;13
Saturday/February 12/2005;47;30.281;14
Sunday/February 13/2005;51;31.496;16
Monday/February 14/2005;47;30.271;14
Tuesday/February 15/2005;47;30.271;14
Wednesday/February 16/2005;46;29.661;13
Thursday/February 17/2005;48;30.877;15
Friday/February 18/2005;50;31.485;16
Saturday/February 19/2005;46;29.654;13
Sunday/February 20/2005;50;30.871;15
Monday/February 21/2005;49;30.869;15
Tuesday/February 22/2005;50;30.868;15
Wednesday/February 23/2005;47;30.257;14
Thursday/February 24/2005;46;29.645;13
Friday/February 25/2005;49;30.861;15
Saturday/February 26/2005;48;30.249;14
Sunday/February 27/2005;51;31.466;16
Monday/February 28/2005;49;30.856;15
Tuesday/March 1/2005;47;30.243;14
Wednesday/March 2/2005;50;30.852;15
Thursday/March 3/2005;49;30.852;15
Friday/March 4/2005;45;29.632;13
Saturday/March 5/2005;47;30.241;14
Sunday/March 6/2005;49;30.844;15
Monday/March 7/2005;49;30.843;15
Tuesday/March 8/2005;46;29.623;13
Wednesday/March 9/2005;51;31.450;16
Thursday/March 10/2005;49;30.840;15
Friday/March 11/2005;48;30.835;15
Saturday/March 12/2005;47;30.225;14
Sunday/March 13/2005;49;30.834;15
Monday/March 14/2005;47;30.225;14
Tuesday/March 15/2005;46;30.223;14
Wednesday/March 16/2005;57;33.265;19
Thursday/March 17/2005;44;29.002;12
Friday/March 18/2005;45;29.611;13
Saturday/March 19/2005;50;30.828;15
Sunday/March 20/2005;48;30.216;14
Monday/March 21/2005;51;31.429;16
Tuesday/March 22/2005;62;35.083;22
Wednesday/March 23/2005;51;31.427;16
Thursday/March 24/2005;62;35.079;22
Friday/March 25/2005;47;30.206;14
Saturday/March 26/2005;47;30.203;14
Sunday/March 27/2005;48;30.203;14
Monday/March 28/2005;45;29.594;13
Tuesday/March 29/2005;46;30.201;14
Wednesday/March 30/2005;51;31.419;16
Thursday/March 31/2005;48;30.199;14
Friday/April 1/2005;48;30.198;14
Saturday/April 2/2005;48;30.197;14
Sunday/April 3/2005;50;30.804;15
Monday/April 4/2005;50;31.413;16
Tuesday/April 5/2005;49;30.801;15
Wednesday/April 6/2005;48;30.192;14
Thursday/April 7/2005;46;29.582;13
Friday/April 8/2005;47;30.191;14
Saturday/April 9/2005;51;31.408;16
Sunday/April 10/2005;62;35.059;22
Monday/April 11/2005;60;34.448;21
Tuesday/April 12/2005;49;30.793;15
Wednesday/April 13/2005;50;30.793;15
Thursday/April 14/2005;44;28.965;12
Friday/April 15/2005;49;30.791;15
Saturday/April 16/2005;48;30.182;14
Sunday/April 17/2005;50;31.399;16
Monday/April 18/2005;57;33.224;19
Tuesday/April 19/2005;51;31.396;16
Wednesday/April 20/2005;63;35.656;23
Thursday/April 21/2005;48;30.784;15
Friday/April 22/2005;45;29.565;13
Saturday/April 23/2005;62;35.044;22
Sunday/April 24/2005;50;30.780;15
Monday/April 25/2005;48;30.170;14
Tuesday/April 26/2005;51;31.388;16
Wednesday/April 27/2005;48;30.169;14
Thursday/April 28/2005;50;30.777;15
Friday/April 29/2005;62;35.039;22
Saturday/April 30/2005;46;29.556;13
Sunday/May 1/2005;47;30.165;14
Monday/May 2/2005;47;30.165;14
Tuesday/May 3/2005;43;28.946;12
Wednesday/May 4/2005;46;29.555;13
Thursday/May 5/2005;48;30.770;15
Friday/May 6/2005;46;29.551;13
Saturday/May 7/2005;48;30.769;15
Sunday/May 8/2005;62;35.031;22
Monday/May 9/2005;51;31.376;16
Tuesday/May 10/2005;47;30.150;14
Wednesday/May 11/2005;49;30.759;15
Thursday/May 12/2005;61;35.022;22
Friday/May 13/2005;48;30.147;14
Saturday/May 14/2005;49;30.756;15
Sunday/May 15/2005;47;30.143;14
Monday/May 16/2005;49;30.751;15
Tuesday/May 17/2005;50;30.751;15
Wednesday/May 18/2005;59;34.403;21
Thursday/May 19/2005;60;34.403;21
Friday/May 20/2005;44;28.918;12
Saturday/May 21/2005;49;30.745;15
Sunday/May 22/2005;61;34.397;21
Monday/May 23/2005;60;34.396;21
Tuesday/May 24/2005;50;30.741;15
Wednesday/May 25/2005;48;30.130;14
Thursday/May 26/2005;50;31.347;16
Friday/May 27/2005;49;30.737;15
Saturday/May 28/2005;60;34.391;21
Sunday/May 29/2005;63;34.999;22
Monday/May 30/2005;59;33.778;20
Tuesday/May 31/2005;46;29.515;13
Wednesday/June 1/2005;47;30.124;14
Thursday/June 2/2005;46;29.512;13
Friday/June 3/2005;47;30.121;14
Saturday/June 4/2005;45;29.505;13
Sunday/June 5/2005;61;34.986;22
Monday/June 6/2005;51;31.332;16
Tuesday/June 7/2005;48;30.114;14
Wednesday/June 8/2005;49;30.722;15
Thursday/June 9/2005;46;29.503;13
Friday/June 10/2005;47;30.111;14
Saturday/June 11/2005;46;29.502;13
Sunday/June 12/2005;60;34.373;21
Monday/June 13/2005;47;30.110;14
Tuesday/June 14/2005;44;28.891;12
Wednesday/June 15/2005;64;35.587;23
Thursday/June 16/2005;60;34.368;21
Friday/June 17/2005;47;30.104;14
Saturday/June 18/2005;44;28.886;12
Sunday/June 19/2005;59;33.755;20
Monday/June 20/2005;44;28.883;12
Tuesday/June 21/2005;59;34.364;21
Wednesday/June 22/2005;59;33.753;20
Thursday/June 23/2005;49;30.707;15
Friday/June 24/2005;62;34.967;22
Saturday/June 25/2005;49;30.704;15
Sunday/June 26/2005;51;31.313;16
Monday/June 27/2005;63;35.576;23
Tuesday/June 28/2005;63;35.575;23
Wednesday/June 29/2005;61;34.963;22
Thursday/June 30/2005;49;30.699;15
Friday/July 1/2005;61;34.962;22
Saturday/July 2/2005;62;34.961;22
Sunday/July 3/2005;58;33.743;20
Monday/July 4/2005;52;31.913;17
Tuesday/July 5/2005;49;30.694;15
Wednesday/July 6/2005;61;34.348;21
Thursday/July 7/2005;62;34.956;22
Friday/July 8/2005;59;34.347;21
Saturday/July 9/2005;49;30.692;15
Sunday/July 10/2005;61;34.954;22
Monday/July 11/2005;63;35.563;23
Tuesday/July 12/2005;50;30.691;15
Wednesday/July 13/2005;61;34.953;22
Thursday/July 14/2005;60;34.341;21
Friday/July 15/2005;50;30.686;15
Saturday/July 16/2005;59;34.339;21
Sunday/July 17/2005;60;34.339;21
Monday/July 18/2005;49;30.684;15
Tuesday/July 19/2005;60;34.336;21
Wednesday/July 20/2005;62;34.945;22
Thursday/July 21/2005;57;33.727;20
Friday/July 22/2005;61;34.943;22
Saturday/July 23/2005;64;35.551;23
Sunday/July 24/2005;48;30.070;14
Monday/July 25/2005;50;31.287;16
Tuesday/July 26/2005;58;33.722;20
Wednesday/July 27/2005;62;34.940;22
Thursday/July 28/2005;62;34.939;22
Friday/July 29/2005;56;33.110;19
Saturday/July 30/2005;42;28.238;11
Sunday/July 31/2005;46;29.456;13
Monday/August 1/2005;47;30.065;14
Tuesday/August 2/2005;61;34.936;22
Wednesday/August 3/2005;50;30.670;15
Thursday/August 4/2005;49;30.670;15
Friday/August 5/2005;57;33.714;20
Saturday/August 6/2005;59;33.714;20
Sunday/August 7/2005;49;30.668;15
Monday/August 8/2005;60;34.321;21
Tuesday/August 9/2005;48;30.057;14
Wednesday/August 10/2005;43;28.839;12
Thursday/August 11/2005;63;35.534;23
Friday/August 12/2005;51;31.271;16
Saturday/August 13/2005;60;34.315;21
Sunday/August 14/2005;61;34.923;22
Monday/August 15/2005;49;30.660;15
Tuesday/August 16/2005;47;30.050;14
Wednesday/August 17/2005;56;33.095;19
Thursday/August 18/2005;60;34.312;21
Friday/August 19/2005;60;34.312;21
Saturday/August 20/2005;61;34.921;22
Sunday/August 21/2005;60;34.311;21
Monday/August 22/2005;47;30.048;14
Tuesday/August 23/2005;47;30.048;14
Wednesday/August 24/2005;52;31.265;16
Thursday/August 25/2005;51;31.264;16
Friday/August 26/2005;61;34.917;22
Saturday/August 27/2005;62;34.916;22
Sunday/August 28/2005;43;28.825;12
Monday/August 29/2005;60;34.305;21
Tuesday/August 30/2005;60;34.301;21
Wednesday/August 31/2005;50;30.646;15
Thursday/September 1/2005;50;30.645;15
Friday/September 2/2005;60;34.298;21
Saturday/September 3/2005;45;29.426;13
Sunday/September 4/2005;58;33.689;20
Monday/September 5/2005;57;33.686;20
Tuesday/September 6/2005;61;34.904;22
Wednesday/September 7/2005;64;35.512;23
Thursday/September 8/2005;55;32.466;18
Friday/September 9/2005;60;34.293;21
Saturday/September 10/2005;60;34.293;21
Sunday/September 11/2005;58;33.684;20
Monday/September 12/2005;46;29.419;13
Tuesday/September 13/2005;49;30.636;15
Wednesday/September 14/2005;61;34.899;22
Thursday/September 15/2005;60;34.290;21
Friday/September 16/2005;58;33.680;20
Saturday/September 17/2005;61;34.896;22
Sunday/September 18/2005;48;30.631;15
Monday/September 19/2005;47;30.021;14
Tuesday/September 20/2005;60;34.284;21
Wednesday/September 21/2005;58;33.671;20
Thursday/September 22/2005;48;30.625;15
Friday/September 23/2005;62;34.887;22
Saturday/September 24/2005;51;31.233;16
Sunday/September 25/2005;64;35.494;23
Monday/September 26/2005;60;34.276;21
Tuesday/September 27/2005;46;29.402;13
Wednesday/September 28/2005;50;30.620;15
Thursday/September 29/2005;61;34.881;22
Friday/September 30/2005;61;34.881;22
Saturday/October 1/2005;60;34.272;21
Sunday/October 2/2005;61;34.879;22
Monday/October 3/2005;48;30.007;14
Tuesday/October 4/2005;63;35.488;23
Wednesday/October 5/2005;51;31.225;16
Thursday/October 6/2005;59;33.660;20
Friday/October 7/2005;50;31.223;16
Saturday/October 8/2005;60;34.268;21
Sunday/October 9/2005;58;33.657;20
Monday/October 10/2005;59;33.657;20
Tuesday/October 11/2005;46;29.394;13
Wednesday/October 12/2005;60;34.265;21
Thursday/October 13/2005;61;34.874;22
Friday/October 14/2005;62;34.874;22
Saturday/October 15/2005;50;31.220;16
Sunday/October 16/2005;48;30.001;14
Monday/October 17/2005;61;34.870;22
Tuesday/October 18/2005;62;34.869;22
Wednesday/October 19/2005;60;34.260;21
Thursday/October 20/2005;52;31.215;16
Friday/October 21/2005;60;34.255;21
Saturday/October 22/2005;62;34.861;22
Sunday/October 23/2005;48;30.597;15
Monday/October 24/2005;62;34.857;22
Tuesday/October 25/2005;59;34.248;21
Wednesday/October 26/2005;60;34.246;21
Thursday/October 27/2005;61;34.243;21
Friday/October 28/2005;62;34.852;22
Saturday/October 29/2005;57;33.024;19
Sunday/October 30/2005;59;33.631;20
Monday/October 31/2005;49;30.586;15
Tuesday/November 1/2005;57;33.019;19
Wednesday/November 2/2005;60;34.235;21
Thursday/November 3/2005;60;34.233;21
Friday/November 4/2005;61;34.841;22
Saturday/November 5/2005;58;33.622;20
Sunday/November 6/2005;51;31.180;16
Monday/November 7/2005;62;34.833;22
Tuesday/November 8/2005;58;33.615;20
Wednesday/November 9/2005;62;34.833;22
Thursday/November 10/2005;61;34.224;21
Friday/November 11/2005;60;34.221;21
Saturday/November 12/2005;62;34.830;22
Sunday/November 13/2005;59;34.218;21
Monday/November 14/2005;49;30.564;15
Tuesday/November 15/2005;63;35.436;23
Wednesday/November 16/2005;63;35.432;23
Thursday/November 17/2005;57;32.996;19
Friday/November 18/2005;64;35.432;23
Saturday/November 19/2005;59;34.214;21
Sunday/November 20/2005;60;34.213;21
Monday/November 21/2005;58;33.602;20
Tuesday/November 22/2005;61;34.820;22
Wednesday/November 23/2005;60;34.211;21
Thursday/November 24/2005;62;34.818;22
Friday/November 25/2005;57;33.600;20
Saturday/November 26/2005;61;34.811;22
Sunday/November 27/2005;48;29.938;14
Monday/November 28/2005;59;33.587;20
Tuesday/November 29/2005;59;34.195;21
Wednesday/November 30/2005;60;34.193;21
Thursday/December 1/2005;60;34.192;21
Friday/December 2/2005;56;32.973;19
Saturday/December 3/2005;60;34.187;21
Sunday/December 4/2005;61;34.795;22
Monday/December 5/2005;61;34.794;22
Tuesday/December 6/2005;61;34.790;22
Wednesday/December 7/2005;60;34.181;21
Thursday/December 8/2005;56;32.962;19
Friday/December 9/2005;56;32.961;19
Saturday/December 10/2005;64;35.397;23
Sunday/December 11/2005;59;34.171;21
Monday/December 12/2005;64;35.389;23
Tuesday/December 13/2005;61;34.169;21
Wednesday/December 14/2005;60;34.169;21
Thursday/December 15/2005;62;34.778;22
Friday/December 16/2005;57;32.948;19
Saturday/December 17/2005;60;34.162;21
Sunday/December 18/2005;60;34.162;21
Monday/December 19/2005;58;33.552;20
Tuesday/December 20/2005;60;34.161;21
Wednesday/December 21/2005;61;34.765;22
Thursday/December 22/2005;64;35.374;23
Friday/December 23/2005;57;33.546;20
Saturday/December 24/2005;59;34.152;21
Sunday/December 25/2005;61;34.148;21
Monday/December 26/2005;62;34.755;22
Tuesday/December 27/2005;57;32.927;19
Wednesday/December 28/2005;62;34.752;22
Thursday/December 29/2005;57;32.922;19
Friday/December 30/2005;59;34.138;21
Saturday/December 31/2005;61;34.744;22
Sunday/January 1/2006;61;34.743;22
Monday/January 2/2006;62;34.740;22
Tuesday/January 3/2006;58;33.521;20
Wednesday/January 4/2006;61;34.129;21
Thursday/January 5/2006;61;34.736;22
Friday/January 6/2006;62;34.735;22
Saturday/January 7/2006;60;34.121;21
Sunday/January 8/2006;59;34.116;21
Monday/January 9/2006;64;35.333;23
Tuesday/January 10/2006;61;34.713;22
Wednesday/January 11/2006;64;35.320;23
Thursday/January 12/2006;61;34.709;22
Friday/January 13/2006;62;34.706;22
Saturday/January 14/2006;60;34.088;21
Sunday/January 15/2006;60;34.080;21
Monday/January 16/2006;59;34.068;21
Tuesday/January 17/2006;63;34.669;22
Wednesday/January 18/2006;60;34.059;21
Thursday/January 19/2006;63;34.666;22
Friday/January 20/2006;61;34.646;22
Saturday/January 21/2006;57;32.681;19
Sunday/January 22/2006;54;32.065;18
Monday/January 23/2006;56;32.654;19
Tuesday/January 24/2006;55;32.042;18
Wednesday/January 25/2006;53;31.425;17
Thursday/January 26/2006;56;32.642;19
